userid	genesymbol	genename	entrezgene
CSF2	CSF2	colony stimulating factor 2	1437
A2ML1	A2ML1	alpha-2-macroglobulin like 1	144568
CST1	CST1	cystatin SN	1469
CST2	CST2	cystatin SA	1470
CST4	CST4	cystatin S	1472
CST6	CST6	cystatin E/M	1474
IGFL2	IGFL2	IGF like family member 2	147920
NKX2-5	NKX2-5	NK2 homeobox 5	1482
RAET1L	RAET1L	retinoic acid early transcript 1L	154064
CRYGN	CRYGN	crystallin gamma N	155051
NKX2-3	NKX2-3	NK2 homeobox 3	159296
TMEM92	TMEM92	transmembrane protein 92	162461
CYP4Z2P	CYP4Z2P	cytochrome P450 family 4 subfamily Z member 2, pseudogene	163720
APCDD1L	APCDD1L	APC down-regulated 1 like	164284
C1QL2	C1QL2	complement C1q like 2	165257
LIX1	LIX1	limb and CNS expressed 1	167410
ADAMTS16	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	170690
EPYC	EPYC	epiphycan	1833
EFNA2	EFNA2	ephrin A2	1943
KRT78	KRT78	keratin 78	196374
EN1	EN1	engrailed homeobox 1	2019
NRK	NRK	Nik related kinase	203447
SFTA1P	SFTA1P	surfactant associated 1, pseudogene	207107
FAP	FAP	fibroblast activation protein alpha	2191
ITGA11	ITGA11	integrin subunit alpha 11	22801
SLITRK3	SLITRK3	SLIT and NTRK like family member 3	22865
CASP14	CASP14	caspase 14	23581
CBLC	CBLC	Cbl proto-oncogene C	23624
SMPX	SMPX	small muscle protein, X-linked	23676
ALPP	ALPP	alkaline phosphatase, placental	250
ALPPL2	ALPPL2	alkaline phosphatase, placental like 2	251
SFTA3	SFTA3	surfactant associated 3	253970
C11orf86	C11orf86	chromosome 11 open reading frame 86	254439
GABRP	GABRP	gamma-aminobutyric acid type A receptor pi subunit	2568
SLC24A2	SLC24A2	solute carrier family 24 member 2	25769
KLK5	KLK5	kallikrein related peptidase 5	25818
CHRDL2	CHRDL2	chordin like 2	25884
NALCN	NALCN	sodium leak channel, non-selective	259232
KRT23	KRT23	keratin 23	25984
PRSS33	PRSS33	protease, serine 33	260429
GCKR	GCKR	glucokinase regulator	2646
GREM1	GREM1	gremlin 1, DAN family BMP antagonist	26585
CSDC2	CSDC2	cold shock domain containing C2	27254
SPINK4	SPINK4	serine peptidase inhibitor, Kazal type 4	27290
SLCO1B3	SLCO1B3	solute carrier organic anion transporter family member 1B3	28234
GPR1	GPR1	G protein-coupled receptor 1	2825
GPR12	GPR12	G protein-coupled receptor 12	2835
TMEM105	TMEM105	transmembrane protein 105	284186
CXCL17	CXCL17	C-X-C motif chemokine ligand 17	284340
KLK9	KLK9	kallikrein related peptidase 9	284366
RSPO1	RSPO1	R-spondin 1	284654
STON1-GTF2A1L	STON1-GTF2A1L	STON1-GTF2A1L readthrough	286749
KRT6C	KRT6C	keratin 6C	286887
C6orf15	C6orf15	chromosome 6 open reading frame 15	29113
GRP	GRP	gastrin releasing peptide	2922
PADI1	PADI1	peptidyl arginine deiminase 1	29943
HOXD11	HOXD11	homeobox D11	3237
APCS	APCS	amyloid P component, serum	325
IBSP	IBSP	integrin binding sialoprotein	3381
S100A7A	S100A7A	S100 calcium binding protein A7A	338324
SLC35D3	SLC35D3	solute carrier family 35 member D3	340146
KLHL38	KLHL38	kelch like family member 38	340359
RSPO2	RSPO2	R-spondin 2	340419
ATP13A5	ATP13A5	ATPase 13A5	344905
INHBA	INHBA	inhibin beta A subunit	3624
PDX1	PDX1	pancreatic and duodenal homeobox 1	3651
ISL1	ISL1	ISL LIM homeobox 1	3670
ITGB6	ITGB6	integrin subunit beta 6	3694
IVL	IVL	involucrin	3713
KCNA1	KCNA1	potassium voltage-gated channel subfamily A member 1	3736
IGFL1	IGFL1	IGF like family member 1	374918
KISS1	KISS1	KiSS-1 metastasis-suppressor	3814
KRT4	KRT4	keratin 4	3851
KRT6A	KRT6A	keratin 6A	3853
KRT6B	KRT6B	keratin 6B	3854
KRT9	KRT9	keratin 9	3857
KRT16	KRT16	keratin 16	3868
C10orf99	C10orf99	chromosome 10 open reading frame 99	387695
LDLRAD1	LDLRAD1	low density lipoprotein receptor class A domain containing 1	388633
SLC9A4	SLC9A4	solute carrier family 9 member A4	389015
C5orf46	C5orf46	chromosome 5 open reading frame 46	389336
SFTA2	SFTA2	surfactant associated 2	389376
LIN28B	LIN28B	lin-28 homolog B	389421
FAM180A	FAM180A	family with sequence similarity 180 member A	389558
FAM150A	FAM150A	ALK and LTK ligand 1	389658
MUC21	MUC21	mucin 21, cell surface associated	394263
LHX1	LHX1	LIM homeobox 1	3975
AMTN	AMTN	amelotin	401138
KPNA7	KPNA7	karyopherin subunit alpha 7	402569
MAGEA2	MAGEA2	MAGE family member A2	4101
MAGEA3	MAGEA3	MAGE family member A3	4102
MAGEA4	MAGEA4	MAGE family member A4	4103
MAGEA6	MAGEA6	MAGE family member A6	4105
MAGEA11	MAGEA11	MAGE family member A11	4110
SCGB2A1	SCGB2A1	secretoglobin family 2A member 1	4246
SCGB2A2	SCGB2A2	secretoglobin family 2A member 2	4250
MMP1	MMP1	matrix metallopeptidase 1	4312
MMP3	MMP3	matrix metallopeptidase 3	4314
MMP7	MMP7	matrix metallopeptidase 7	4316
MMP8	MMP8	matrix metallopeptidase 8	4317
MMP10	MMP10	matrix metallopeptidase 10	4319
MMP11	MMP11	matrix metallopeptidase 11	4320
MMP13	MMP13	matrix metallopeptidase 13	4322
KLK12	KLK12	kallikrein related peptidase 12	43849
NKX6-1	NKX6-1	NK6 homeobox 1	4825
NPY	NPY	neuropeptide Y	4852
OMD	OMD	osteomodulin	4958
ORM2	ORM2	orosomucoid 2	5005
PAEP	PAEP	progestagen associated endometrial protein	5047
SERPINB2	SERPINB2	serpin family B member 2	5055
PAX1	PAX1	paired box 1	5075
PAX7	PAX7	paired box 7	5081
NTM	NTM	neurotrimin	50863
PCDH8	PCDH8	protocadherin 8	5100
PCP4	PCP4	Purkinje cell protein 4	5121
MAGEC2	MAGEC2	MAGE family member C2	51438
VGLL1	VGLL1	vestigial like family member 1	51442
PADI3	PADI3	peptidyl arginine deiminase 3	51702
CALML5	CALML5	calmodulin like 5	51806
PIP	PIP	prolactin induced protein	5304
FXYD4	FXYD4	FXYD domain containing ion transport regulator 4	53828
GPR87	GPR87	G protein-coupled receptor 87	53836
KRT20	KRT20	keratin 20	54474
CRCT1	CRCT1	cysteine rich C-terminal 1	54544
PPEF1	PPEF1	protein phosphatase with EF-hand domain 1	5475
ARHGEF38	ARHGEF38	Rho guanine nucleotide exchange factor 38	54848
ODAM	ODAM	odontogenic, ameloblast asssociated	54959
PRSS1	PRSS1	protease, serine 1	5644
KLK7	KLK7	kallikrein related peptidase 7	5650
KLK6	KLK6	kallikrein related peptidase 6	5653
PSG4	PSG4	pregnancy specific beta-1-glycoprotein 4	5672
LHX9	LHX9	LIM homeobox 9	56956
PGLYRP4	PGLYRP4	peptidoglycan recognition protein 4	57115
SLURP1	SLURP1	secreted LY6/PLAUR domain containing 1	57152
KIAA1210	KIAA1210	KIAA1210	57481
NKX3-2	NKX3-2	NK3 homeobox 2	579
PTPRN	PTPRN	protein tyrosine phosphatase, receptor type N	5798
NGB	NGB	neuroglobin	58157
DMRT3	DMRT3	doublesex and mab-3 related transcription factor 3	58524
CACNG7	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	59284
ROS1	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6098
S100A5	S100A5	S100 calcium binding protein A5	6276
S100A7	S100A7	S100 calcium binding protein A7	6278
SERPINB4	SERPINB4	serpin family B member 4	6318
CCL7	CCL7	C-C motif chemokine ligand 7	6354
CCL11	CCL11	C-C motif chemokine ligand 11	6356
PRSS22	PRSS22	protease, serine 22	64063
SLC28A3	SLC28A3	solute carrier family 28 member 3	64078
SFRP2	SFRP2	secreted frizzled related protein 2	6423
FAM25A	FAM25A	family with sequence similarity 25 member A	643161
PLA2G2F	PLA2G2F	phospholipase A2 group IIF	64600
SIM1	SIM1	single-minded family bHLH transcription factor 1	6492
SIX3	SIX3	SIX homeobox 3	6496
SLC1A6	SLC1A6	solute carrier family 1 member 6	6511
UCA1	UCA1	urothelial cancer associated 1 (non-protein coding)	652995
SLC6A11	SLC6A11	solute carrier family 6 member 11	6538
SLC18A3	SLC18A3	solute carrier family 18 member A3	6572
SOX11	SOX11	SRY-box 11	6664
SPRR1A	SPRR1A	small proline rich protein 1A	6698
SPRR1B	SPRR1B	small proline rich protein 1B	6699
SPRR2C	SPRR2C	small proline rich protein 2C (pseudogene)	6702
SPRR3	SPRR3	small proline rich protein 3	6707
SSX1	SSX1	SSX family member 1	6756
TBX5	TBX5	T-box 5	6910
TFF2	TFF2	trefoil factor 2	7032
TH	TH	tyrosine hydroxylase	7054
SCGB1A1	SCGB1A1	secretoglobin family 1A member 1	7356
UGT2B7	UGT2B7	UDP glucuronosyltransferase family 2 member B7	7364
WNT7A	WNT7A	Wnt family member 7A	7476
WT1	WT1	Wilms tumor 1	7490
CACNG1	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1	786
TRPM8	TRPM8	transient receptor potential cation channel subfamily M member 8	79054
OR7E91P	OR7E91P	olfactory receptor family 7 subfamily E member 91 pseudogene	79315
VTCN1	VTCN1	V-set domain containing T-cell activation inhibitor 1	79679
C2orf54	C2orf54	chromosome 2 open reading frame 54	79919
ARL14	ARL14	ADP ribosylation factor like GTPase 14	80117
MOGAT2	MOGAT2	monoacylglycerol O-acyltransferase 2	80168
ADAMTS12	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	81792
NETO1	NETO1	neuropilin and tolloid like 1	81832
ST6GALNAC5	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	81849
ZIC4	ZIC4	Zic family member 4	84107
FNDC1	FNDC1	fibronectin type III domain containing 1	84624
FIBCD1	FIBCD1	fibrinogen C domain containing 1	84929
FAM83A	FAM83A	family with sequence similarity 83 member A	84985
ZIC5	ZIC5	Zic family member 5	85416
LY6D	LY6D	lymphocyte antigen 6 family member D	8581
SERPINB7	SERPINB7	serpin family B member 7	8710
SCEL	SCEL	sciellin	8796
WISP1	WISP1	WNT1 inducible signaling pathway protein 1	8840
CCK	CCK	cholecystokinin	885
SLAMF9	SLAMF9	SLAM family member 9	89886
SYT8	SYT8	synaptotagmin 8	90019
FAM181A	FAM181A	family with sequence similarity 181 member A	90050
CLDN8	CLDN8	claudin 8	9073
ANKRD30A	ANKRD30A	ankyrin repeat domain 30A	91074
KRT75	KRT75	keratin 75	9119
LEMD1	LEMD1	LEM domain containing 1	93273
TGM5	TGM5	transglutaminase 5	9333
ITGBL1	ITGBL1	integrin subunit beta like 1	9358
ADIPOQ	ADIPOQ	adiponectin, C1Q and collagen domain containing	9370
MUC16	MUC16	mucin 16, cell surface associated	94025
HAND2	HAND2	heart and neural crest derivatives expressed 2	9464
GABBR2	GABBR2	gamma-aminobutyric acid type B receptor subunit 2	9568
KLK4	KLK4	kallikrein related peptidase 4	9622
MAGEC1	MAGEC1	MAGE family member C1	9947
FGFBP1	FGFBP1	fibroblast growth factor binding protein 1	9982
